Date,SPY,SPY_Ret,RF
2/28/2017,236.47,-0.002702818,0.00002
3/1/2017,239.78,0.013900486,0.00001
3/2/2017,238.27,-0.006317352,0.00001
3/3/2017,238.42,0.00062934,0.00001
3/6/2017,237.71,-0.002982381,0.00001
3/7/2017,237,-0.002991302,0.00001
3/8/2017,236.56,-0.001858266,0.00001
3/9/2017,236.86,0.001267374,0.00001
3/10/2017,237.69,0.003498054,0.00001
3/13/2017,237.81,0.000504732,0.00001
3/14/2017,236.9,-0.003833924,0.00001
3/15/2017,238.95,0.008616214,0.00001
3/16/2017,238.48,-0.001968876,0.00001
3/17/2017,237.03,-0.006098734,0.00001
3/20/2017,236.77,-0.00109751,0.00001
3/21/2017,233.73,-0.012922603,0.00001
3/22/2017,234.28,0.002350378,0.00001
3/23/2017,234.03,-0.001067669,0.00001
3/24/2017,233.86,-0.000726667,0.00001
3/27/2017,233.62,-0.001026782,0.00001
3/28/2017,235.32,0.007250426,0.00001
3/29/2017,235.54,0.00093446,0.00001
3/30/2017,236.29,0.003179114,0.00001
3/31/2017,235.74,-0.002330361,0.00001
4/3/2017,235.33,-0.001740718,0.00003
4/4/2017,235.48,0.0006372,0.00003
4/5/2017,234.78,-0.002977079,0.00003
4/6/2017,235.44,0.002807198,0.00003
4/7/2017,235.2,-0.001019888,0.00003
4/10/2017,235.34,0.000595061,0.00003
4/11/2017,235.06,-0.001190476,0.00003
4/12/2017,234.03,-0.004391488,0.00003
4/13/2017,232.51,-0.006516077,0.00003
4/17/2017,234.57,0.008820816,0.00003
4/18/2017,233.87,-0.002988645,0.00003
4/19/2017,233.44,-0.001840321,0.00003
4/20/2017,235.34,0.008106192,0.00003
4/21/2017,234.59,-0.003191967,0.00003
4/24/2017,237.17,0.010937874,0.00003
4/25/2017,238.55,0.005801748,0.00003
4/26/2017,238.4,-0.000628997,0.00003
4/27/2017,238.6,0.000838574,0.00003
4/28/2017,238.08,-0.002181758,0.00003
5/1/2017,238.68,0.002516991,0.00003
5/2/2017,238.77,0.000377003,0.00003
5/3/2017,238.48,-0.001215296,0.00003
5/4/2017,238.76,0.001173414,0.00003
5/5/2017,239.7,0.003929278,0.00003
5/8/2017,239.66,-0.000166889,0.00003
5/9/2017,239.44,-0.000918389,0.00003
5/10/2017,239.87,0.001794246,0.00003
5/11/2017,239.38,-0.002044862,0.00003
5/12/2017,238.98,-0.001672381,0.00003
5/15/2017,240.3,0.005508276,0.00003
5/16/2017,240.08,-0.000915942,0.00003
5/17/2017,235.82,-0.017903399,0.00003
5/18/2017,236.77,0.004020404,0.00003
5/19/2017,238.31,0.006483141,0.00003
5/22/2017,239.52,0.005064574,0.00003
5/23/2017,240.05,0.002210314,0.00003
5/24/2017,240.61,0.00233013,0.00003
