Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACN,ADBE,ADI,ADM,ADP,ADS,ADSK,AEE,AEP,AES,AET,AFL,AGN,AIG,AIV,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,ALXN,AMAT,AMD,AME,AMG,AMGN,AMP,AMT,AMZN,ANDV,ANSS,ANTM,AON,AOS,APA,APC,APD,APH,ARE,ATVI
2/27/2017,51.66,46.32,156.94,136.93,62.22,91.73,45.46,122.79,118.78,82.28,45.37,102.7,246.77,87.74,54.29,66.7,11.14,129.46,72.33,246.25,64,46.46,98.12,56.98,62.86,92.46,102.26,97.84,81.34,73.6,132.2,36.43,15.2,54.5,168.96,176.13,131.11,113.34,848.64,88.33,107.25,164.91,116.37,51.13,52.93,64.9,139.38,69.47,120.47,45.69
2/28/2017,51.3,46.36,156.61,136.99,61.84,91.51,45.08,122.5,118.34,81.93,46.97,102.62,242.98,86.3,54.69,66.97,11.52,128.76,72.35,244.82,63.92,46.53,99,56.95,62.6,101.51,102.76,97.82,82.16,72.59,131.25,36.22,14.46,53.97,167.93,176.53,131.5,114.79,845.04,85.19,106.76,164.82,115.65,50.36,52.59,64.65,140.47,69.21,119.31,45.13
3/1/2017,52.04,47.09,156.68,139.79,62.83,92.23,45.59,124.07,120.35,83.76,46.51,104.53,247.62,88.93,54.76,66.12,11.35,130.04,72.98,245.29,64.63,46.02,100.85,57.76,63.38,102.66,103.83,100.24,82.69,73.69,134.21,36.85,14.96,55.26,169.31,178.24,134.28,113.84,853.08,85.99,108.36,166.97,117.51,51.08,52.95,66.02,143.69,70.88,118.18,47.14
3/2/2017,51.38,45.72,157.36,138.96,63.25,91.94,45.69,124.35,119.9,83.65,45.48,104.07,243.94,87.32,55.12,66.5,11.63,129.51,72.19,244.96,63.9,45.54,99.75,56.78,63.79,103.06,104.12,96.36,81.75,73.96,132.94,36.49,13.9,54.7,168.2,178.07,131.6,114.81,848.91,83.21,106.06,165.97,116.46,49.87,51.92,64.09,140.57,70.48,117.01,46.68
3/3/2017,51.98,46.82,155.35,139.78,63.34,92.23,45.25,123.64,120.04,83.18,45.2,104.5,244.63,85.32,54.89,66.52,11.55,130.69,72.27,245.63,64.22,45.39,99.87,56.86,63.36,104.77,104.04,98.94,81.86,73.82,134.99,36.87,13.03,54.85,168.75,180.2,133.06,115.67,849.88,83.41,106.3,166,116.48,50.18,52.09,63.21,139.52,70.47,117.59,47.07
3/6/2017,51.25,45.31,154.25,139.34,63.55,89.99,45.13,123.24,120.15,83.85,44.76,104.95,245.45,82.94,54.89,66.35,11.52,131.3,72.19,242.36,63.78,45.25,99.58,56.4,63.06,102.11,102.74,96.63,81.34,73.21,133.33,36.86,13.04,54.61,167.19,179.46,132.43,114.71,846.61,84.36,105.54,165.84,115.71,49.62,52.19,63.25,139.31,70.13,117.51,47.81
3/7/2017,51.21,44.84,151.99,139.52,63.69,88.48,45,124.14,119.98,83.41,44.46,104.27,245.05,82.07,54.82,66.24,11.33,130.59,71.95,239.6,63.45,45.43,99.6,56.32,63.3,103.79,103.15,95.12,81.46,72.86,129.18,36.97,13.05,54.51,166.56,177.38,132.18,114.7,846.02,83.46,105.77,166.01,115.54,49.64,51.28,63.16,139.64,70.27,117.16,48.06
3/8/2017,51.41,44.89,155.21,139,64.14,89.08,45.36,124.46,119.6,83.48,43.99,103.71,246.19,83.46,54.12,65.15,11.07,131.71,71.89,239.44,63.44,44.69,99.48,56.15,63.55,102.74,103.72,95.2,81.13,73.11,127.41,37.19,13.22,54.52,166.35,177.78,132.56,113.24,850.5,83.76,105.99,165.65,115.62,49.54,49.41,61.4,139.56,70.38,115.69,48.58
3/9/2017,51.43,43.33,155.15,138.68,64.5,88.61,45.63,123.18,119.91,83.17,44.42,103.4,247.93,84.24,54.12,64.84,11.06,132.81,72.09,240.18,63.21,43.76,99.97,56.24,64.2,102.5,105.36,94.78,81.57,73.46,126.55,37.38,13.33,53.79,165.3,178.92,132.72,113,853,81.75,105.93,166.18,116.33,49.46,50.63,61.94,138.58,70.14,113.7,49.02
3/10/2017,52.15,43.9,153.97,139.14,65.88,88.31,45.72,123.93,121.09,82.2,45.04,104.55,248.2,86.12,53.89,65.4,11.15,132.8,72.02,241.15,63.08,43.43,99.64,56.66,64.22,103.05,105.32,96.61,82.05,74.47,127.31,38.12,13.91,53.62,163.9,181.44,132.1,113.58,852.46,81.95,106.47,166.41,117.86,50.09,50.23,61.89,138.77,70.55,108.81,49.2
3/13/2017,52.45,42.37,154.35,139.2,65.85,89.14,45.53,124.04,121.8,82.76,44.7,104.84,247.82,86.69,54.19,65.81,11.02,132.62,72.05,240.65,63.18,43.11,99.41,56.99,64.59,104.5,107.99,96.58,82.1,74.76,124.74,38.44,14.28,54.27,163.8,181.05,132.59,114.26,854.59,83.45,106.83,167.24,118.94,50.49,50.16,62.82,137.82,71.39,109.09,49.5
3/14/2017,52.21,41.21,153.71,138.99,65.67,88.81,44.8,123.91,121.44,83.68,44.67,103.97,245.53,85.91,54.02,65.79,11,131.96,71.84,239.45,62.88,43.11,99.49,56.85,63.63,103.95,107.48,94.5,82.18,74.37,121.6,38.27,14.1,53.5,164.29,180.12,132.41,114.02,852.53,83.09,106.28,165.18,118.42,50.53,50.33,61.81,136.18,70.95,108.18,49.08
3/15/2017,54.1,42.09,152.92,140.46,66.55,89.48,45.32,124.8,122.11,83.51,45.01,104.67,245.55,88.4,54.79,66.68,11.31,134.11,72.35,240.67,63.23,44.34,99.02,57.07,64.39,105.22,110.31,95.36,82.62,74.92,122.12,38.92,13.98,54.1,165.86,182.6,133.67,115.28,852.97,85.48,107.06,169.2,119.02,51.82,51.07,64.08,137.99,71.86,110.41,49.22
3/16/2017,53.05,42.13,153.41,140.69,65.9,88,44.98,124.1,122.35,82.72,44.85,104.25,245.09,86.73,54.35,66.01,11.3,133.06,72.4,239.42,62.91,44.13,98.59,56.86,64.63,104.01,110.47,94.14,82.89,75.15,122.41,39.05,13.65,54.1,166,180.11,134.6,115.09,853.42,85.13,107.22,168.42,119.24,51.83,51.08,63.4,137.97,71.44,109.87,49.1
3/17/2017,53.31,41.72,152.4,139.99,65.69,87.53,45.19,125.22,127.01,83.26,44.72,105.11,245.01,86.22,55.05,66.47,11.46,131.8,72.53,237.38,62.42,44.21,98.97,56.93,65,106.21,111.85,93.36,82.85,75.48,122.08,39.28,13.49,54.31,162.81,168.61,131.71,116.01,852.31,85.34,107.29,168.27,118.91,52.17,51.22,63.25,139.53,71.34,110.27,49.13
3/20/2017,53.15,41.7,152.44,141.46,65.8,86.91,44.98,124.39,126.31,82.9,44.85,104.45,244.54,86.32,54.69,66.13,11.2,130.35,72.24,236.95,62.37,44.09,97.65,56.88,64.86,106.07,113.23,94.82,82.37,75.23,120.2,39.57,14.4,54.21,162.03,169.24,130.49,115.98,856.97,84.23,107.53,167.59,118.18,52.14,50.93,62.84,138.69,71.34,109.97,48.96
3/21/2017,52.66,40.42,151.22,139.84,65.35,85.91,44.8,124.64,125.07,81.8,44.95,103.12,239.29,83.64,55.49,66.98,11.3,129.09,71.41,234.55,61.76,44.46,95.45,56.01,62.95,104.25,111.06,92.11,81.69,74.27,118.7,38.58,13.82,53.3,159.29,166.85,125.87,116.74,843.2,82.01,106.42,166.99,117.57,50.96,50.3,61.82,136.45,70.41,110.7,48.22
3/22/2017,53.13,40.35,151.27,141.42,65.52,85.88,44.81,126.48,126.21,82.12,45.61,103.68,240.87,84.6,56.04,67.44,11.15,128.33,71.64,233.99,61.24,44.51,95.58,56.12,63.68,105.22,111.99,92.92,81.38,74.77,120.08,38.82,14.1,53.36,159.22,167.45,125.21,118.31,848.06,81.99,106.64,166.44,117.71,51,50.54,61.63,136.41,70.96,111.38,48.68
3/23/2017,53.18,41.41,150.78,140.92,65.65,85.99,44.77,120.76,126.87,81.54,45.61,103.52,242.92,85.69,56.05,67.45,11.18,127.83,72,235.29,61.34,44.71,95.34,56.28,63.66,105.15,112.55,94.05,81.26,74.86,120.26,38.85,13.79,53.46,158.89,166.04,125.66,118.95,847.38,81.79,106.585,165.38,117.48,51.27,50.09,60.79,137.05,70.9,112.09,48.78
3/24/2017,53.08,41.73,149.73,140.64,65.62,86.56,44.73,118.98,127.7,81.64,45.58,103.38,243.79,86.48,56.19,67.79,11.23,126.77,71.99,237.33,60.88,44.74,95.06,56.44,63.63,104.45,113.87,94.7,80.99,75.05,119.26,38.97,13.7,53.42,158.86,165.74,125.26,119.32,845.61,80.28,105.7,162.75,117.54,51.23,50.24,60.34,134.94,70.97,111.36,49.12
3/27/2017,53.24,41.74,147.8,140.88,66.1,87.48,44.7,119.39,128.25,81.4,45.35,102.91,243.43,85.44,56.05,67.69,11.13,126.26,71.84,239.38,60.93,44.22,94.56,56.54,63.09,104.6,114.02,95,81.09,74.89,118.83,38.86,13.7,53.5,159,164.91,125.28,120.01,846.82,81.44,105.65,162.19,118.19,51.39,49.72,59.94,135.92,70.98,110.41,49.3
3/28/2017,53.44,42.6,148.36,143.8,65.98,87.5,44.7,121.35,128.69,82.2,45.72,103.28,244.7,85.47,55.31,67.84,11.31,127.01,72.31,240.53,61.86,44.35,95.5,57.01,63.25,104.88,113.9,96.33,81.89,75.12,118.53,38.82,13.69,53.93,163.7,164.71,128.36,120.39,856,81.63,106.19,164.6,118.88,51.32,51.22,61.14,137.25,71.32,110.67,49.76
3/29/2017,53.12,41.96,149.67,144.12,65.77,89.51,44.67,120.98,129.58,81.91,46.24,102.13,245.33,86.4,55.13,67.39,11.25,125.73,71.58,241.34,61.77,44.4,94.31,56.79,63.44,105.04,114.23,94.3,81.39,75.41,120.72,38.87,13.71,54.19,162.87,163.06,127.4,121.04,874.32,83.03,106.55,164.98,117.76,50.8,53.18,62.45,136.78,71.31,109.82,50.14
3/30/2017,53.32,42.54,148.67,143.93,65.46,89.14,44.55,120.52,129.61,82.2,46.11,102.17,248.88,86.32,54.69,67.16,11.08,126.91,72.32,239.8,62.57,44.32,95.44,56.77,60.53,105.14,113.96,93.66,81.64,75.86,122.08,38.89,14.05,54.12,163.94,164.38,129.66,120.91,876.34,80.64,106.77,167.08,118.48,51.14,52.09,62.17,135.6,71.89,109.82,50.19
3/31/2017,52.87,42.3,148.26,143.66,65.16,88.5,44.41,119.88,130.13,81.95,46.04,102.39,249,86.47,54.59,67.13,11.18,127.55,72.42,238.92,62.43,44.35,95.67,56.54,59.7,105.64,114.71,92.22,81.49,75.7,121.24,38.9,14.55,54.08,163.94,164.07,129.68,121.54,886.54,81.06,106.87,165.38,118.69,51.16,51.39,62,135.29,71.17,110.52,49.86
4/3/2017,53.2,42.45,145.5,143.7,65.03,87.33,44.47,117.64,129.59,81.24,45.8,101.27,250.33,85.39,54.57,67.15,11.19,128.74,72.66,237.68,61.79,44.32,95.01,56.02,58.1,105.03,116.36,92.37,81.32,75.72,119.29,38.89,14.64,53.67,162.97,163.89,129.57,121.15,891.51,80.5,106.79,166.49,118.33,50.46,51.04,61.79,134.95,70.29,110.75,49.53
4/4/2017,52.62,40.9,143.04,144.77,65.11,86.93,44.18,118.04,130.04,81.24,45.41,101.45,250.97,84.95,54.72,67.29,11.27,127.85,72.61,238.43,62.18,44.44,94.96,56.38,59.3,105.5,115.61,90.22,81.63,74.9,118.3,39,14.16,53.76,160.09,164.36,128.9,120.74,906.83,79.89,105.57,165.7,118.9,50.13,51.89,62.71,135.35,69.9,111.24,49.04
4/5/2017,52.71,41.31,142.74,144.02,64.96,87.18,43.8,117.64,129.89,80.04,45.26,101.93,250.26,83.54,55.05,67.83,11.16,127.28,72.19,237.77,61.62,44.64,94.35,56,58.8,105.21,114.8,90.05,81.42,74.13,116.21,38.38,14.17,53.69,159.2,162.24,128.02,120.64,909.28,78.83,105.17,164.75,119.23,49.67,51.7,62.85,135.24,69.57,110.96,49.2
4/6/2017,53.15,41.72,142.56,143.66,65.08,87.64,43.67,116.81,130.15,80.32,45.25,101.75,253.36,84.07,54.71,67.62,11.16,128.84,72.95,238.34,61.84,44.86,94.79,56.4,58.75,106.03,115.19,89.43,81.44,74.7,115.49,38.58,13.27,54.21,160.63,162.25,129.71,121.95,898.28,79.32,106.14,165.92,119.39,49.89,52.96,62.89,135.19,69.93,112.18,49.36
4/7/2017,52.84,41.81,142.05,143.34,65.54,87.62,43.83,117.44,130.22,80.01,44.89,102.19,251.04,84.79,54.52,67.32,11.04,128.36,72.9,238.85,61.34,44.92,94.69,56.33,58.1,105.94,114.74,89.17,81.11,74.69,115.62,38.93,13.52,54.15,160.81,163.38,129.3,122.12,894.88,80.17,105.59,166.26,119.64,49.87,52.64,62.43,135.01,69.77,111.67,49.61
4/10/2017,52.72,42.32,142.84,143.17,64.97,88.44,43.59,117.84,130.16,79.33,44.99,102.14,247.66,85.66,54.71,67.5,11.15,129.3,73.55,240.12,61.48,44.99,94.85,56.34,58.51,104.86,114.73,89.04,81.36,74.62,117.41,38.86,13.1,54.51,161.19,162.79,129.37,122.48,907.04,80.93,105.86,167.44,119.76,50.33,53.99,62.89,135.76,69.64,112.77,49.04
4/11/2017,52.83,43.93,143.46,141.63,64.18,87.87,43.58,116.08,129.95,78.08,44.54,102.09,238.34,85.99,54.79,67.39,11.31,129.52,73.75,239.11,60.79,44.81,95.21,56.3,59.01,105.61,114.95,88.84,81.17,75.29,116.89,38.2,13.1,54.49,162.62,163.11,129.3,122.76,902.36,81.85,105.94,167.43,119.73,50.8,53.87,62.9,136.42,69.74,113.63,49.08
4/12/2017,52.55,43.96,141.74,141.8,64.37,86.82,43.48,115.58,129.38,76.87,44.65,101.95,238.9,85.62,55.39,67.79,11.37,129.08,73.35,237.83,60.17,44.24,93.63,55.79,58.88,104.12,114.11,88.66,80.97,75.24,114.57,37.77,12.76,53.52,162.25,163.05,127.54,122.37,896.23,81.18,105.56,166.43,118.67,49.85,53.81,62.54,135.51,68.84,113.63,48.64
4/13/2017,52.33,43.35,140.89,141.05,64.13,86.67,42.67,114.86,129.05,76.51,44.28,101.26,234.91,84.91,54.99,67.54,11.36,128.63,73,237.83,59.55,43.99,92.68,55.51,58.8,103.62,113.73,86.33,80.58,75.11,118.35,37.52,12.31,53.2,161.28,161.61,126.23,122.6,884.67,79.77,105.37,164.99,118.1,49.56,52.37,61.09,134.3,68.65,113.54,48.42
4/17/2017,53.46,44.23,140.84,141.83,64.31,86.64,43.31,115.72,129.99,76.39,44.68,101.86,238.51,85.99,55.43,67.74,11.43,129.31,73.53,236.13,59.93,44.59,94.22,56.28,58.82,104.63,115.18,86.91,81.5,76.23,118.83,38.02,12.79,53.97,163.94,162.11,127.75,124.25,901.99,79.37,106.4,166.94,119.05,50.42,52.5,61.21,135.86,69.53,115.07,48.8
4/18/2017,53.03,43.81,140.91,141.2,63.65,82.56,43.43,116.24,129.81,77.41,45.41,101.93,238,86.41,55.34,67.98,11.41,128.54,73.88,234.38,59.5,44.72,93.6,56.04,58.95,105.77,116.32,86.53,80.31,75.94,118.22,38.05,12.95,53.98,161.79,161.25,126.61,124.86,903.78,77.21,107.17,166.37,118.86,50.28,50.45,60.41,135.27,69.96,115.34,49.17
4/19/2017,53.07,44.4,142.42,140.68,63.45,81.85,43.59,116.95,130.22,76.99,44.6,102.07,240.64,87.93,54.89,67.74,11.37,129.26,73.57,236.34,58.98,44.3,93.97,55.82,59.68,105.84,117.55,87.19,79.75,76.83,120.49,39.25,12.84,53.86,162.77,161.26,126.9,124.67,899.2,75.49,107.78,166.79,119.12,50.37,49.19,59.13,134.96,70.12,115.66,49.35
4/20/2017,53.13,45.22,146.56,142.44,63.78,82.37,43.98,119.21,131.42,78.66,44.9,103.04,260.62,88.41,54.54,67.44,11.42,131.93,74.17,237.94,59.67,44.05,95.11,56.25,60.2,105.52,118.87,88.37,80.15,77.72,118.72,39.89,13.11,54.77,164.58,162.04,129.57,124.3,902.06,76.39,108.01,168.07,120.56,51.01,49.02,59,136.9,70.82,115.94,49.95
4/21/2017,53.27,45.15,146.84,142.27,63.82,81.26,43.53,119.23,131.52,77.63,44.81,102.69,259.51,88.58,55.09,67.86,11.38,131.18,73.99,236.35,59.13,44.15,94.7,55.61,60.28,105.1,118.44,89.11,79.73,77.91,116.82,39.79,13,54.84,163.31,160.41,128.44,124.43,898.53,77.89,108,167.8,118.43,51.37,49.02,59.29,137.3,70.47,115.43,49.87
4/24/2017,54.44,46.44,147.1,143.64,64.66,80.94,44.13,119.36,132.89,79.22,45.38,104.14,260.87,90.14,55.43,67.97,11.59,132.6,74.65,236.98,59.69,43.81,96.12,56.05,61.39,106.83,120.34,90.68,80.9,78.24,119.54,40.44,13.13,56.58,166.45,163.14,131.86,123.85,907.41,80.04,109.6,168.41,119.04,52,48.74,59.37,139.76,71.93,113.2,50.88
4/25/2017,54.81,46.61,145.67,144.53,65.1,81.49,43.76,118.69,133.49,79.35,45.58,105.01,263.01,90.32,55.08,67.86,11.62,133.83,75.01,238.22,60.07,44.65,96.92,56.44,61.8,108.09,118.78,91.42,81.22,78.75,120.55,40.79,13.49,57.03,166.12,164.7,130.88,123.94,907.62,80.66,109.77,172.46,120.07,52.76,50.25,60.08,141.73,72.18,114.33,51.36
4/26/2017,54.83,46.4,145.78,143.68,65.04,81.25,43.8,118.98,132.79,77.98,45.27,104.86,262.33,90.23,55.16,67.69,11.45,133.99,74.8,239.5,60.16,44.84,97.02,56.35,62.24,108.3,119.74,88.25,81.8,79.72,120.73,40.71,13.41,57.1,165.93,164.61,129,122.81,909.29,80.07,110,179.03,120.07,52.97,50.01,59.96,141.58,71.73,113.59,51.36
4/27/2017,55.43,43.98,143.19,143.79,66.07,82.12,43.65,120.49,133.38,77.85,45.78,105.16,260.54,90.63,55.03,68.1,11.29,133.98,75.05,243.05,61.15,44.45,97.12,56.73,59.75,108.18,120.09,84.93,81.98,80.62,126.91,41.33,13.62,57.26,165.67,162.72,128.46,125.77,918.38,79.85,110.15,178.3,120.14,54.42,48.32,57.12,141.1,72.78,112.96,51.91
4/28/2017,55.05,42.62,142.14,143.65,65.94,82.05,43.64,121.3,133.74,76.2,45.75,104.49,249.63,90.07,54.69,67.83,11.31,135.07,74.88,243.86,60.91,43.74,96.24,55.81,60.94,108.91,134.62,85.09,81.29,78.64,127.78,40.61,13.3,57.2,165.59,163.32,127.85,125.94,924.99,79.71,110.16,177.89,119.84,53.88,48.64,57.02,140.5,72.31,112.51,52.25
5/1/2017,55.8,42.08,140.53,146.58,66.48,82.49,43.48,121.25,135.11,76.22,45.73,103.97,253.48,91.98,54.27,67.47,11.31,136.78,74.44,245.23,61.61,43.35,97.25,55.94,61.48,109.39,133.68,84.42,81.5,77.7,131.59,41.7,13.62,57.59,155.84,162.6,128.81,127.51,948.23,78.88,110.9,179.2,120.29,53.67,48.79,56.67,142.03,71.89,112.82,52.7
5/2/2017,55.93,43.87,142.55,147.51,66.63,82.66,43.6,120.68,135,75.51,41.67,104.01,255.9,93.45,54.25,68.01,11.3,138.91,75.02,245.5,61.53,43.13,98.14,55.07,62.5,108.38,134.12,86.49,81.83,77.62,133.41,41.71,10.32,59.03,154.79,163.49,129.11,127.91,946.94,79.55,110.85,181.27,119.92,53.21,48.47,56.28,143.52,71.5,114.56,53.03
5/3/2017,56.16,43.92,142.82,147.06,66.74,82.67,43.72,120.3,134.85,75.6,41.31,97.51,254.27,93.35,54.24,67.9,11.19,138.95,74.76,243.76,61.54,42.83,104.51,55.01,52.8,107.65,131.97,86.6,84.93,77.28,130.43,41.55,10.39,59.91,155.31,163.81,129.02,126.79,941.03,79.56,111,179.94,120.34,54.02,48.8,51.95,143.82,71.29,113.32,52.84
5/4/2017,56.7,43.91,144.81,146.53,67.23,86.53,44.59,120.82,134.61,75.66,42.4,99.1,253.68,93.25,54.81,68.02,11.09,140.09,74.39,245.25,62.67,43.17,104.47,55.36,52.86,108.71,141.89,85.43,85.57,77.35,130.15,41.62,10.1,60.39,155.43,164.29,128.1,127.39,937.53,78.92,119.49,179.89,121.2,54.81,47.9,51.94,144.76,71.84,114.28,53.1
5/5/2017,56.64,44.51,144.98,148.96,66.99,85.89,44.64,121.52,134.84,75.79,42.43,99.29,255.49,93.24,54.78,68.41,11.32,140.77,74.35,244.94,62.71,43.96,103.92,55.71,52.13,110.01,138.03,85.24,85.45,77.5,128.82,41.83,10.19,60.19,154.71,163.81,128.82,128.69,934.15,80.86,121.2,180.3,122.27,55.33,49.29,52.59,147.22,72.13,114.83,53.83
5/8/2017,56.32,44.94,146.97,153.01,66.21,86.59,44.68,121.11,135.12,76.38,42.96,96.7,257.36,93.39,54.63,67.73,11.31,141.56,74.33,241.95,61.92,43.09,105.3,55.48,50.17,109.56,137,83.53,84.77,76.8,124.48,41.54,10.04,59.93,154.04,163.03,128.38,128.87,949.04,81.85,121.13,179.83,122.81,54.84,50.25,52.31,146.19,72.53,114.72,53.99
5/9/2017,56.87,47.08,146.12,153.99,66.17,87.54,44.67,121.07,135.6,78.5,42.36,97.08,260.21,94.74,54.21,67.31,11.34,142.4,73.86,238.51,61.82,42.9,104.43,55.22,50.4,109.33,138.17,84.21,84.17,76.98,124.7,42.04,10.18,60.3,154,163.22,128.91,128.09,952.82,83.47,121.29,177.73,124.3,54.84,50.45,51.33,145.3,72.66,113.52,54.62
5/10/2017,56.27,47.3,146.16,153.26,65.98,88.14,44.5,121.2,136.15,79.03,42.29,96.63,258.56,95.87,54.45,67.41,11.57,143.04,74.43,229.72,61.37,43.35,103.63,55.48,49.85,110.57,137.01,83.19,84.29,76.83,120.95,42.87,10.79,59.95,154.04,160.51,129.09,127.1,948.95,83.08,120.54,180.13,124.09,54.35,51.21,52.08,145.25,72.98,114.53,55.99
5/11/2017,56.23,46.54,145.95,153.95,65.3,88.86,43.86,120.8,136.29,78.44,42.03,96.46,251.1,95.41,54.45,67.55,11.47,144.39,73.96,231.01,61.79,43.2,102.65,55.13,49.85,110.74,137.46,83.65,83.91,77.29,119.04,43.48,11.07,59.85,152.42,160.08,127.59,126.28,947.62,81.83,119.89,182.72,124.3,54.11,51.07,51.54,143.86,72.62,115.07,55.75
5/12/2017,56.16,45.83,145.02,156.1,66.06,88.75,43.96,120.96,136.84,78.63,41.96,97.17,243.47,95.39,54.93,68.06,11.33,142.9,73.43,230.88,60.99,43.22,102.05,54.73,49.43,110.38,138.67,83.59,84.13,76.73,120.08,43.44,11.26,59.47,153.58,160.22,126.13,126.12,961.35,80.86,119.9,181.44,124.24,53.54,51.45,51.63,144.07,72.85,115.85,56.01
5/15/2017,56.7,46.68,145.85,155.7,66.67,89.92,44.04,122.25,137.6,80.21,42.14,98.45,244.85,96.63,55.17,68.56,11.4,142.21,73.73,228.22,61.82,43.07,102.26,55.19,49.83,112.05,138.46,84.87,84.53,77.24,120.93,44.32,11.42,59.72,154.75,159.97,128.77,127.93,957.97,81.96,120.46,182.3,125.76,54,50.97,51.88,145.08,73.17,115.85,56.41
5/16/2017,56.83,46.94,145.25,155.47,66.85,89.12,43.69,123.14,138.03,81.05,41.9,98.32,245.06,98.03,54.66,67.86,11.32,141.86,73.74,224.55,62.08,42.64,101.97,55.31,49.15,112.37,138.61,84.73,84.33,78.48,120.3,45.07,12.75,59.81,154.55,159.99,129.92,128.37,966.07,81.88,121.3,180.81,125.98,54.5,50.97,51.75,144.35,73.74,115.84,56.78
5/17/2017,55.77,44.92,144.56,150.25,65.37,86.28,43.08,120.44,134.33,78.42,41.52,97.3,238.19,93.97,54.43,68.15,11.33,139.06,73.62,220.33,61.56,42.87,100.16,54.96,47.5,110.54,136.08,82.19,84.36,77.01,116.15,42.76,11.2,59.47,151.08,157.06,123.34,130.74,944.76,81.84,119.84,176.12,125.98,53.43,50.19,51.74,142.57,72.56,116.53,54.23
5/18/2017,55.85,44.65,148.51,152.54,65.63,86.69,42.98,120.4,134.54,80.48,41.31,98.35,234.66,95.83,55.3,68.31,11.18,140.23,73.72,218.73,61.39,42.79,99.28,55.38,47,110,137.69,83.04,84.72,77.32,116.67,43.91,11.275,59.14,149.51,157.96,124.42,127.98,958.49,81.49,120.34,176.69,126.69,53.02,49.92,52.08,142.71,72.45,117.09,55.15
5/19/2017,56.13,45.22,151.47,153.06,65.58,89.16,43.16,120.98,136.43,81.24,41.5,98.62,235.17,109.91,55.6,68.72,11.2,141.36,73.87,219.13,61.2,43.04,99.53,55.76,47.38,110.32,138.43,84.57,84.13,79.06,113.84,44.08,11.41,60.06,152.69,156.51,125.83,128.32,959.84,83.31,122.2,176.41,127.28,53.81,51.16,53.3,143.1,72.9,117.67,55.88
5/22/2017,56.08,46.21,147.37,153.99,65.44,89.48,43.73,122.71,138.86,82.09,41.5,99.45,238.27,113.36,56.42,69.42,11.36,141,73.9,219.52,61.38,43.15,99.59,56.27,47.75,110.58,138.1,85.28,84.79,79.46,115.42,44.73,11.04,60.58,153.98,153.02,125.11,128.73,970.67,83.26,124.12,176.5,128.37,53.86,50.02,53.35,143.31,73.6,117.9,57.12
5/23/2017,58.66,46.66,140.66,153.8,65.84,89.19,43.68,122.15,139.52,81.96,43.04,99.53,236.21,112.97,56.46,69.59,11.37,141.89,74.13,220.66,62.17,43.28,99.49,56.69,47.41,111.71,138.22,85.78,85.4,78.9,104.64,44.91,10.89,60.56,152.66,154.07,122.98,128.73,971.54,83.02,124.66,177.71,128.56,54.13,50,53.57,142.83,73.37,118.61,57.8
5/24/2017,59.23,46.77,133.02,153.34,65.93,89.97,43.53,121.95,141.12,82.12,42.55,99.98,237.71,112.48,56.14,70.2,11.75,143.94,73.83,224.16,62.6,43.27,99.4,56.84,47.62,112.05,138.65,84.54,85.81,79.05,101.08,44.63,10.89,60.99,152.5,154.6,121.81,129.3,980.35,83.09,124.01,180.08,129.19,54.29,49.87,53.35,144.14,73.93,118.28,58.51
5/25/2017,59.3,48.02,131.97,153.87,66.32,91.11,43.95,123.1,142.85,82.34,42.62,101.16,245.62,113.89,56.05,70.8,11.78,145.23,74.71,224.36,63.12,43.19,100.45,57.55,48.06,112.59,141.39,86.58,86.28,79.46,98.5,45.02,10.98,61.09,154,155.43,122.61,131.05,993.38,84.2,126.21,181.5,130.32,54.5,47.71,52.07,144.12,74.57,117.36,59.22
5/26/2017,59.51,48.74,134.16,153.61,66.06,91,44.71,122.89,141.89,82.81,42.45,101.35,244.04,113.03,56.15,70.87,11.79,145.57,74.84,223.12,63.55,43.18,99.28,57.12,47.39,112.86,142.1,86.62,86.5,79.38,97.7,45.5,11,60.87,153.92,155.01,122.3,131.11,995.78,83.46,125.72,183.08,130.01,54.07,48.19,51.84,143.91,74.8,117.27,58.28
5/30/2017,60.37,47.96,132.99,153.67,66.02,91.03,45,123.77,142.41,84.8,42.11,101.53,242.15,113.16,56.46,71.21,11.7,145.55,75.14,222.11,64.1,42.92,98.55,56.97,47.43,112.46,143.33,85.81,86,78.46,97.78,45.56,11.12,60.8,153.02,153.85,121.1,132.12,996.7,84,126.78,183.32,130.71,54.38,47.56,50.77,143.97,74.88,117,58.58
5/31/2017,60.34,48.41,133.63,152.76,66.02,91.77,45.66,124.47,141.86,85.76,41.58,102.37,241.13,111.77,56.75,71.78,11.68,144.86,75.38,223.75,63.63,42.92,97.98,56.73,47.15,113.6,145.2,87.05,86.34,78.63,98.03,45.88,11.19,61.02,153.85,155.24,120.79,131.19,994.62,83.24,126.33,182.35,130.91,54.87,46.76,50.53,144.06,74.6,116.68,58.58
6/1/2017,60.73,49.05,137.1,153.18,66.71,93.14,46.1,125.29,141.38,82.21,41.82,103.35,241.65,113.03,56.8,72.21,11.95,147.65,75.93,227.39,63.9,43.05,100.15,57.46,48.3,113.36,145.91,88.23,86.94,79.14,100.58,46,10.93,61.51,160.34,156.24,123.13,131.83,995.95,83.25,127.86,187.69,131.64,55.24,47.3,51.11,145.08,75.13,117.94,59.56
