,Stock,0
0,A,71.85976430838006
1,AAL,98.12773509606488
2,AAP,148.44159876259965
3,AAPL,10.694507039908054
4,ABBV,15.694860811040513
5,ABC,50.04772868090157
6,ABT,5.698619547943695
7,ACN,22.20945649518039
8,ADBE,54.6031704386008
9,ADI,54.28620900882183
10,ADM,35.24390363742025
11,ADP,63.098334878743444
12,ADS,24.425287040092698
13,ADSK,64.79377044787921
14,AEE,56.11417078136904
15,AEP,21.047453895052577
16,AES,65.33527630990558
17,AET,44.718789837421156
18,AFL,25.228685951615322
19,AGN,44.18657742940271
20,AIG,26.51255099158292
21,AIV,26.885300178505528
22,AIZ,5.295657676929839
23,AJG,30.900152325478622
24,AKAM,70.62216038066927
25,ALB,42.48682000569301
26,ALGN,19.89347736670554
27,ALK,28.226294301142076
28,ALL,36.47770471336325
29,ALLE,48.2997270881727
30,ALXN,38.54077825633159
31,AMAT,18.3326736110007
32,AMD,109.98484384516084
33,AME,30.578923490088386
34,AMG,20.53355505842064
35,AMGN,38.998329301519064
36,AMP,55.783152633870785
37,AMT,17.269890728801922
38,AMZN,71.68434758438345
39,ANDV,52.90396996428737
40,ANSS,39.858649248237356
41,ANTM,27.602729120994812
42,AON,22.802362750317467
43,AOS,21.760229187151698
44,APA,20.616506507021278
45,APC,24.115911802217248
46,APD,79.42585467911087
47,APH,39.613465077671954
48,ARE,28.062064984416722
49,ATVI,38.58549773271693
