Date,(Mkt-RF)*,SMB*,HML*
3/27/2017,-0.0012284,0.0055608,-0.0053756
3/28/2017,0.0064716,-0.0015392,0.0069244
3/29/2017,0.0010716,0.0038608,-0.0007756
3/30/2017,0.0028716,0.0032608,0.0090244
3/31/2017,-0.0023284,0.0056608,-0.0031756
4/3/2017,-0.0035284,-0.0110392,-0.0012756
4/4/2017,-0.0002284,-0.0023392,0.0029244
4/5/2017,-0.0051284,-0.0079392,-0.0032756
4/6/2017,0.0024716,0.0068608,0.0048244
4/7/2017,-0.0015284,0.0013608,-0.0027756
4/10/2017,7.16E-05,0.0009608,0.0008244
4/11/2017,-0.0012284,0.0080608,0.0023244
4/12/2017,-0.0056284,-0.0085392,-0.0055756
4/13/2017,-0.0082284,-0.0023392,-0.0080756
4/17/2017,0.0081716,0.0023608,0.0020244
4/18/2017,-0.0032284,0.0035608,-0.0017756
4/19/2017,-0.0015284,0.0059608,-0.0040756
4/20/2017,0.0075716,0.0051608,0.0025244
4/21/2017,-0.0035284,0.0009608,-0.0015756
4/24/2017,0.0110716,0.0016608,0.0049244
4/25/2017,0.0058716,0.0035608,-0.0006756
4/26/2017,-0.0003284,0.0069608,0.0029244
4/27/2017,-0.0002284,-0.0013392,-0.0097756
4/28/2017,-0.0037284,-0.0067392,-0.0061756
5/1/2017,0.0013716,0.0026608,-0.0014756
5/2/2017,-0.0004284,-0.0046392,-0.0022756
5/3/2017,-0.0026284,-0.0054392,0.0018244
5/4/2017,-0.0005284,-0.0006392,-0.0037756
5/5/2017,0.0038716,0.0005608,0.0003244
5/8/2017,-0.0011284,-0.0027392,0.0026244
5/9/2017,-0.0012284,0.0050608,-0.0079756
5/10/2017,0.0013716,0.0018608,2.44E-05
5/11/2017,-0.0033284,-0.0036392,-0.0016756
5/12/2017,-0.0025284,-0.0029392,-0.0062756
5/15/2017,0.0045716,0.0024608,0.0018244
5/16/2017,-0.0010284,0.0015608,-0.0010756
5/17/2017,-0.0204284,-0.0089392,-0.0055756
5/18/2017,0.0032716,0.0005608,-0.0040756
5/19/2017,0.0062716,-0.0039392,0.0038244
5/22/2017,0.0048716,0.0027608,-0.0031756
5/23/2017,0.0010716,-0.0007392,0.0059244
5/24/2017,0.0016716,-0.0015392,-0.0050756
5/25/2017,0.0034716,-0.0027392,-0.0078756
5/26/2017,-0.0001284,-0.0002392,0.0007244
5/30/2017,-0.0026284,-0.0050392,-0.0033756
5/31/2017,-0.0009284,0.0002608,-0.0057756
6/1/2017,0.0087716,0.0096608,0.0001244
6/2/2017,0.0027716,0.0055608,-0.0078756
6/5/2017,-0.0024284,-0.0045392,-0.0001756
6/6/2017,-0.0035284,0.0009608,-0.0007756
6/7/2017,0.0007716,-0.0019392,-7.56E-05
6/8/2017,0.0010716,0.0115608,0.0090244
6/9/2017,-0.0019284,-3.92E-05,0.0235244
6/12/2017,-0.0018284,-0.0027392,0.0034244
6/13/2017,0.0047716,0.0007608,-0.0015756
6/14/2017,-0.0024284,-0.0047392,-0.0056756
6/15/2017,-0.0037284,-0.0024392,-0.0013756
6/16/2017,-0.0010284,-0.0023392,-0.0019756
6/19/2017,0.0078716,0.0011608,-0.0075756
6/20/2017,-0.0080284,-0.0040392,-0.0052756
6/21/2017,-0.0014284,-0.0004392,-0.0169756
6/22/2017,-0.0005284,0.0051608,-0.0043756
6/23/2017,0.0016716,0.0082608,-0.0051756
6/26/2017,-0.0003284,-0.0006392,0.0066244
6/27/2017,-0.0091284,-0.0040392,0.0130244
6/28/2017,0.0094716,0.0074608,0.0020244
6/29/2017,-0.0090284,-0.0012392,0.0136244
6/30/2017,0.0006716,-0.0009392,-0.0026756
7/3/2017,0.0016716,0.0033608,0.0118244
7/5/2017,0.0004716,-0.0069392,-0.0056756
7/6/2017,-0.0102284,-0.0050392,0.0010244
7/7/2017,0.0062716,0.0041608,-0.0042756
7/10/2017,-0.0002284,-0.0043392,-0.0010756
7/11/2017,-0.0007284,0.0037608,-0.0054756
7/12/2017,0.0064716,0.0012608,-0.0054756
7/13/2017,0.0009716,-0.0005392,0.0035244
7/14/2017,0.0034716,-0.0013392,-0.0051756
7/17/2017,-0.0007284,0.0020608,0.0010244
7/18/2017,-0.0003284,-0.0030392,-0.0034756
7/19/2017,0.0051716,0.0052608,0.0002244
7/20/2017,-0.0008284,0.0004608,-0.0002756
7/21/2017,-0.0015284,-0.0041392,-0.0029756
7/24/2017,-0.0010284,0.0011608,-0.0021756
7/25/2017,0.0030716,0.0036608,0.0090244
7/26/2017,-0.0013284,-0.0035392,-0.0071756
7/27/2017,-0.0021284,-0.0064392,0.0041244
7/28/2017,-0.0024284,-0.0006392,0.0021244
7/31/2017,-0.0018284,-0.0033392,0.0042244
8/1/2017,0.0016716,-0.0024392,0.0016244
8/2/2017,-0.0015284,-0.0117392,0.0014244
8/3/2017,-0.0028284,-0.0034392,-0.0030756
8/4/2017,0.0017716,0.0029608,0.0034244
8/7/2017,0.0008716,-0.0009392,-0.0060756
8/8/2017,-0.0030284,-0.0010392,0.0019244
8/9/2017,-0.0021284,-0.0077392,-0.0013756
8/10/2017,-0.0156284,-0.0031392,0.0022244
8/11/2017,0.0012716,0.0023608,-0.0087756
8/14/2017,0.0095716,0.0025608,0.0003244
8/15/2017,-0.0018284,-0.0085392,-0.0004756
8/16/2017,0.0010716,-0.0012392,-0.0046756
8/17/2017,-0.0166284,-0.0017392,-0.0017756
8/18/2017,-0.0022284,0.0014608,0.0019244
8/21/2017,-0.0001284,-0.0025392,-0.0023756
8/22/2017,0.0099716,-0.0001392,-0.0026756
8/23/2017,-0.0039284,0.0009608,0.0039244
8/24/2017,-0.0021284,0.0058608,0.0016244
8/25/2017,0.0010716,0.0011608,0.0055244
8/28/2017,7.16E-05,0.0034608,-0.0075756
8/29/2017,0.0002716,0.0012608,-0.0040756
8/30/2017,0.0045716,0.0001608,-0.0032756
8/31/2017,0.0054716,0.0046608,-0.0043756
9/1/2017,0.0019716,0.0040608,0.0043244
9/5/2017,-0.0088284,0.0009608,-0.0097756
9/6/2017,0.0020716,-0.0002392,0.0011244
9/7/2017,-0.0014284,0.0014608,-0.0095756
9/8/2017,-0.0023284,0.0003608,0.0034244
9/11/2017,0.0100716,-0.0012392,0.0061244
9/12/2017,0.0036716,0.0023608,0.0069244
9/13/2017,0.0003716,0.0030608,0.0034244
9/14/2017,-0.0019284,-0.0004392,-0.0007756
9/15/2017,0.0011716,0.0027608,0.0010244
9/18/2017,0.0016716,0.0036608,0.0019244
9/19/2017,0.0007716,-0.0028392,0.0033244
9/20/2017,0.0007716,0.0021608,0.0048244
9/21/2017,-0.0035284,0.0009608,0.0035244
9/22/2017,0.0004716,0.0043608,0.0011244
9/25/2017,-0.0032284,0.0030608,0.0061244
9/26/2017,-0.0002284,0.0038608,0.0011244
9/27/2017,0.0055716,0.0138608,0.0016244
9/28/2017,0.0005716,0.0015608,-0.0008756
9/29/2017,0.0027716,-0.0012392,-0.0029756
