Date,SMB,HML
5/18/2017,0.0006,-0.0039
5/19/2017,-0.0039,0.004
5/22/2017,0.0028,-0.003
5/23/2017,-0.0007,0.0061
5/24/2017,-0.0015,-0.0049
5/25/2017,-0.0027,-0.0077
5/26/2017,-0.0002,0.0009
5/30/2017,-0.005,-0.0032
5/31/2017,0.0003,-0.0056
6/1/2017,0.0097,0.0003
6/2/2017,0.0056,-0.0077
6/5/2017,-0.0045,0
6/6/2017,0.001,-0.0006
6/7/2017,-0.0019,0.0001
6/8/2017,0.0116,0.0092
6/9/2017,0,0.0237
6/12/2017,-0.0027,0.0036
6/13/2017,0.0008,-0.0014
6/14/2017,-0.0047,-0.0055
6/15/2017,-0.0024,-0.0012
6/16/2017,-0.0023,-0.0018
6/19/2017,0.0012,-0.0074
6/20/2017,-0.004,-0.0051
6/21/2017,-0.0004,-0.0168
6/22/2017,0.0052,-0.0042
6/23/2017,0.0083,-0.005
6/26/2017,-0.0006,0.0068
6/27/2017,-0.004,0.0132
6/28/2017,0.0075,0.0022
6/29/2017,-0.0012,0.0138
6/30/2017,-0.0009,-0.0025
7/3/2017,0.0034,0.012
7/5/2017,-0.0069,-0.0055
7/6/2017,-0.005,0.0012
7/7/2017,0.0042,-0.0041
7/10/2017,-0.0043,-0.0009
7/11/2017,0.0038,-0.0053
7/12/2017,0.0013,-0.0053
7/13/2017,-0.0005,0.0037
7/14/2017,-0.0013,-0.005
7/17/2017,0.0021,0.0012
7/18/2017,-0.003,-0.0033
7/19/2017,0.0053,0.0004
7/20/2017,0.0005,-0.0001
7/21/2017,-0.0041,-0.0028
7/24/2017,0.0012,-0.002
7/25/2017,0.0037,0.0092
7/26/2017,-0.0035,-0.007
7/27/2017,-0.0064,0.0043
7/28/2017,-0.0006,0.0023
7/31/2017,-0.0033,0.0044
8/1/2017,-0.0024,0.0018
8/2/2017,-0.0117,0.0016
8/3/2017,-0.0034,-0.0029
8/4/2017,0.003,0.0036
8/7/2017,-0.0009,-0.0059
8/8/2017,-0.001,0.0021
8/9/2017,-0.0077,-0.0012
8/10/2017,-0.0031,0.0024
8/11/2017,0.0024,-0.0086
8/14/2017,0.0026,0.0005
8/15/2017,-0.0085,-0.0003
8/16/2017,-0.0012,-0.0045
8/17/2017,-0.0017,-0.0016
8/18/2017,0.0015,0.0021
8/21/2017,-0.0025,-0.0022
8/22/2017,-0.0001,-0.0025
8/23/2017,0.001,0.0041
8/24/2017,0.0059,0.0018
8/25/2017,0.0012,0.0057
8/28/2017,0.0035,-0.0074
8/29/2017,0.0013,-0.0039
8/30/2017,0.0002,-0.0031
8/31/2017,0.0047,-0.0042
9/1/2017,0.0041,0.0045
9/5/2017,0.001,-0.0096
9/6/2017,-0.0002,0.0013
9/7/2017,0.0015,-0.0094
9/8/2017,0.0004,0.0036
9/11/2017,-0.0012,0.0063
9/12/2017,0.0024,0.0071
9/13/2017,0.0031,0.0036
9/14/2017,-0.0004,-0.0006
9/15/2017,0.0028,0.0012
9/18/2017,0.0037,0.0021
9/19/2017,-0.0028,0.0035
9/20/2017,0.0022,0.005
9/21/2017,0.001,0.0037
9/22/2017,0.0044,0.0013
9/25/2017,0.0031,0.0063
9/26/2017,0.0039,0.0013
9/27/2017,0.0139,0.0018
9/28/2017,0.0016,-0.0007
9/29/2017,-0.0012,-0.0028
